# AGH 过滤明细日志 - 生成于 2026-02-18 10:26:53.096248
# 总计过滤: 6039 条
================================================================================
[白名单] @@||ui.ads.microsoft.com^                # 被父域 [ads.microsoft.com] 覆盖
[黑名单] ||cdn.adviad.com^                        # 被父域 [adviad.com] 覆盖
[黑名单] ||cdn.amplitude.com^                     # 被父域 [amplitude.com] 覆盖
[黑名单] ||cdn.braun634.com^                      # 被父域 [braun634.com] 覆盖
[黑名单] ||cdn.decibelinsight.net^                # 被父域 [decibelinsight.net] 覆盖
[黑名单] ||cdn.exmarketplace.com^                 # 被父域 [exmarketplace.com] 覆盖
[黑名单] ||cdn.faspox.com^                        # 被父域 [faspox.com] 覆盖
[黑名单] ||cdn.getsmartcontent.com^               # 被父域 [getsmartcontent.com] 覆盖
[黑名单] ||cdn.inskinad.com^                      # 被父域 [inskinad.com] 覆盖
[黑名单] ||cdn.kaizenplatform.net^                # 被父域 [kaizenplatform.net] 覆盖
[黑名单] ||cdn.laim.tv^                           # 被父域 [laim.tv] 覆盖
[黑名单] ||cdn.lr-ingest.io^                      # 被父域 [lr-ingest.io] 覆盖
[黑名单] ||cdn.moengage.com^                      # 被父域 [moengage.com] 覆盖
[黑名单] ||cdn.nativery.com^                      # 被父域 [nativery.com] 覆盖
[黑名单] ||cdn.odoscope.cloud^                    # 被父域 [odoscope.cloud] 覆盖
[黑名单] ||cdn.onesignal.com^                     # 被父域 [onesignal.com] 覆盖
[黑名单] ||cdn.popupsmart.com^                    # 被父域 [popupsmart.com] 覆盖
[黑名单] ||cdn.pranmcpkx.com^                     # 被父域 [pranmcpkx.com] 覆盖
[黑名单] ||cdn.retailads.net^                     # 被父域 [retailads.net] 覆盖
[黑名单] ||cdn.rlets.com^                         # 被父域 [rlets.com] 覆盖
[黑名单] ||cdn.shoplytics.com^                    # 被父域 [shoplytics.com] 覆盖
[黑名单] ||cdn.sov.stream^                        # 被父域 [sov.stream] 覆盖
[黑名单] ||cdn.stat-track.com^                    # 被父域 [stat-track.com] 覆盖
[黑名单] ||cdn.xianliao.me^                       # 被父域 [xianliao.me] 覆盖
[黑名单] ||cdn.yektanet.com^                      # 被父域 [yektanet.com] 覆盖
[黑名单] ||cdn.yottos.com^                        # 被父域 [yottos.com] 覆盖
[黑名单] ||cdn.zarget.com^                        # 被父域 [zarget.com] 覆盖
[黑名单] ||cdn1.pebx.pl^                          # 被父域 [pebx.pl] 覆盖
[黑名单] ||cdn2.sales-frontier.com^               # 被父域 [sales-frontier.com] 覆盖
[黑名单] ||cdnuz.adviad.com^                      # 被父域 [adviad.com] 覆盖
[黑名单] ||channelevents.partnermcafee.com^       # 被父域 [partnermcafee.com] 覆盖
[黑名单] ||cinplex.oewabox.at^                    # 被父域 [oewabox.at] 覆盖
[黑名单] ||clevertapsendgrid.branch.rocks^        # 被父域 [branch.rocks] 覆盖
[黑名单] ||click-dsp-east.nativeads.com^          # 被父域 [nativeads.com] 覆盖
[黑名单] ||click.jasmin.com^                      # 被父域 [jasmin.com] 覆盖
[黑名单] ||click.kmindex.ru^                      # 被父域 [kmindex.ru] 覆盖
[黑名单] ||clicks.virtuagirlhd.com^               # 被父域 [virtuagirlhd.com] 覆盖
[黑名单] ||clickserver.googleads.com^             # 被父域 [googleads.com] 覆盖
[黑名单] ||clicktrack.ziyu.net^                   # 被父域 [ziyu.net] 覆盖
[黑名单] ||cn.adpinfo.com^                        # 被父域 [adpinfo.com] 覆盖
[黑名单] ||cnt.statistic.date^                    # 被父域 [statistic.date] 覆盖
[黑名单] ||code.acstat.com^                       # 被父域 [acstat.com] 覆盖
[黑名单] ||code.ainsyndication.com^               # 被父域 [ainsyndication.com] 覆盖
[黑名单] ||collect-ap2.attraqt.io^                # 被父域 [attraqt.io] 覆盖
[黑名单] ||collect-eu.attraqt.io^                 # 被父域 [attraqt.io] 覆盖
[黑名单] ||collect-v*.51.la^                      # 被父域 [51.la] 覆盖
[黑名单] ||collect.mxapis.com^                    # 被父域 [mxapis.com] 覆盖
[黑名单] ||collector-*.perimeterx.net^            # 被父域 [perimeterx.net] 覆盖
[黑名单] ||collector-*.tvsquared.com^             # 被父域 [tvsquared.com] 覆盖
[黑名单] ||collector.bunchbox.co^                 # 被父域 [bunchbox.co] 覆盖
[黑名单] ||collector.leaddyno.com^                # 被父域 [leaddyno.com] 覆盖
[黑名单] ||collector.snplow.net^                  # 被父域 [snplow.net] 覆盖
[黑名单] ||collector.statowl.com^                 # 被父域 [statowl.com] 覆盖
[黑名单] ||collectorj.tvsquared.com^              # 被父域 [tvsquared.com] 覆盖
[黑名单] ||communication.adpinfo.com^             # 被父域 [adpinfo.com] 覆盖
[黑名单] ||communications.adpinfo.com^            # 被父域 [adpinfo.com] 覆盖
[黑名单] ||config.hiido.com^                      # 被父域 [hiido.com] 覆盖
[黑名单] ||consent.cookiefirst.com^               # 被父域 [cookiefirst.com] 覆盖
[黑名单] ||content.acc-hd.de^                     # 被父域 [acc-hd.de] 覆盖
[黑名单] ||content.zontera.com^                   # 被父域 [zontera.com] 覆盖
[黑名单] ||cookie.pebblemedia.be^                 # 被父域 [pebblemedia.be] 覆盖
[黑名单] ||core.zontera.com^                      # 被父域 [zontera.com] 覆盖
[黑名单] ||counter*.stat.ovh^                     # 被父域 [stat.ovh] 覆盖
[黑名单] ||counter.surfcounters.com^              # 被父域 [surfcounters.com] 覆盖
[黑名单] ||counting.kmindex.ru^                   # 被父域 [kmindex.ru] 覆盖
[黑名单] ||cpm.applixir.com^                      # 被父域 [applixir.com] 覆盖
[黑名单] ||cpm.denakop.com^                       # 被父域 [denakop.com] 覆盖
[黑名单] ||cpm.foremedia.net^                     # 被父域 [foremedia.net] 覆盖
[黑名单] ||cpm.revbid.net^                        # 被父域 [revbid.net] 覆盖
[黑名单] ||cpm.theardent.group^                   # 被父域 [theardent.group] 覆盖
[黑名单] ||cpm.vistarsagency.com^                 # 被父域 [vistarsagency.com] 覆盖
[黑名单] ||cradver.livejasmin.com^                # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crakrevenue.go2cloud.org^              # 被父域 [go2cloud.org] 覆盖
[黑名单] ||crcom.livejasmin.com^                  # 被父域 [livejasmin.com] 覆盖
[黑名单] ||creatives.livejasmin.com^              # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crmpt.livejasmin.com^                  # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crmt.livejasmin.com^                   # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crpdt.livejasmin.com^                  # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crpop.livejasmin.com^                  # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crprt.livejasmin.com^                  # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crpt.livejasmin.com^                   # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crt.livejasmin.com^                    # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crtbb.livejasmin.com^                  # 被父域 [livejasmin.com] 覆盖
[黑名单] ||crtinf.livejasmin.com^                 # 被父域 [livejasmin.com] 覆盖
[黑名单] ||csm.cxpublic.com^                      # 被父域 [cxpublic.com] 覆盖
[黑名单] ||ctl.buyt.in^                           # 被父域 [buyt.in] 覆盖
[黑名单] ||cttest.branch.rocks^                   # 被父域 [branch.rocks] 覆盖
[黑名单] ||customers-lidl.kameleoon.com^          # 被父域 [kameleoon.com] 覆盖
[黑名单] ||d-collector.jennifersoft.com^          # 被父域 [jennifersoft.com] 覆盖
[黑名单] ||d.adtriba.com^                         # 被父域 [adtriba.com] 覆盖
[黑名单] ||d.otaserve.net^                        # 被父域 [otaserve.net] 覆盖
[黑名单] ||da.newstogram.com^                     # 被父域 [newstogram.com] 覆盖
